ID,PHECODE
0,8.0
1,8.5
2,8.51
3,8.52
4,8.6
5,8.7
6,10.0
7,31.0
8,31.1
9,38.0
10,38.1
11,38.2
12,41.0
13,41.1
14,41.2
15,41.21
16,41.4
17,53.0
18,53.1
19,54.0
20,70.0
21,70.1
22,70.2
23,70.3
24,71.1
25,78.0
26,79.0
27,79.1
28,79.2
29,90.0
30,90.2
31,90.3
32,110.1
33,110.11
34,110.12
35,110.13
36,110.2
37,112.0
38,112.3
39,117.0
40,117.1
41,117.2
42,117.3
43,117.4
44,130.0
45,130.1
46,131.0
47,132.0
48,132.1
49,133.0
50,134.0
51,134.1
52,136.0
53,145.0
54,145.1
55,145.2
56,145.3
57,145.4
58,145.5
59,149.0
60,149.1
61,149.2
62,149.3
63,149.4
64,149.9
65,150.0
66,151.0
67,153.0
68,153.2
69,153.3
70,155.0
71,155.1
72,157.0
73,158.0
74,159.0
75,159.2
76,159.3
77,159.4
78,164.0
79,165.0
80,165.1
81,170.1
82,170.2
83,172.11
84,172.2
85,172.3
86,173.0
87,174.1
88,174.11
89,174.3
90,180.1
91,180.3
92,182.0
93,184.0
94,184.1
95,184.11
96,184.2
97,185.0
98,187.0
99,187.1
100,187.2
101,187.8
102,189.0
103,189.11
104,189.12
105,189.2
106,189.21
107,189.4
108,190.0
109,191.0
110,191.1
111,191.11
112,193.0
113,194.0
114,195.0
115,195.1
116,195.3
117,198.0
118,198.1
119,198.2
120,198.3
121,198.4
122,198.5
123,198.6
124,198.7
125,199.0
126,200.0
127,200.1
128,201.0
129,202.0
130,202.2
131,202.21
132,202.24
133,204.0
134,204.1
135,204.11
136,204.12
137,204.2
138,204.21
139,204.22
140,204.3
141,204.4
142,208.0
143,210.0
144,211.0
145,212.0
146,213.0
147,214.0
148,214.1
149,215.0
150,216.0
151,217.1
152,218.1
153,218.2
154,220.0
155,221.0
156,222.0
157,223.0
158,224.0
159,224.1
160,225.0
161,225.1
162,225.2
163,226.0
164,227.0
165,227.1
166,227.2
167,227.3
168,228.0
169,229.0
170,230.0
171,240.0
172,241.0
173,241.1
174,241.2
175,242.0
176,242.1
177,242.2
178,242.3
179,244.1
180,244.2
181,244.4
182,244.5
183,245.0
184,245.1
185,245.2
186,245.21
187,246.0
188,249.0
189,250.1
190,250.11
191,250.12
192,250.13
193,250.14
194,250.2
195,250.21
196,250.22
197,250.23
198,250.24
199,250.6
200,250.7
201,251.0
202,251.1
203,251.8
204,252.0
205,252.1
206,252.2
207,253.0
208,253.1
209,253.11
210,253.2
211,253.3
212,253.7
213,254.0
214,255.0
215,255.1
216,255.11
217,255.12
218,255.13
219,255.21
220,255.3
221,256.0
222,256.1
223,256.4
224,257.0
225,257.1
226,258.0
227,258.1
228,259.0
229,259.2
230,259.3
231,259.4
232,260.0
233,260.1
234,260.2
235,260.21
236,260.22
237,261.0
238,261.1
239,261.2
240,261.3
241,261.4
242,261.41
243,262.0
244,263.0
245,270.1
246,270.11
247,270.12
248,270.2
249,270.21
250,270.31
251,270.32
252,270.33
253,271.3
254,271.9
255,272.1
256,272.11
257,272.12
258,272.13
259,272.14
260,272.9
261,275.0
262,275.1
263,275.2
264,275.3
265,275.5
266,275.53
267,276.1
268,276.11
269,276.12
270,276.13
271,276.14
272,276.4
273,276.41
274,276.42
275,276.5
276,276.6
277,277.0
278,277.1
279,277.2
280,277.4
281,277.5
282,277.51
283,278.0
284,278.1
285,278.3
286,279.0
287,279.1
288,279.11
289,279.8
290,280.1
291,280.2
292,281.0
293,281.1
294,281.11
295,281.12
296,281.13
297,281.9
298,282.5
299,282.8
300,282.9
301,283.0
302,283.1
303,283.2
304,283.21
305,284.0
306,284.2
307,285.0
308,285.1
309,285.2
310,285.22
311,285.3
312,285.8
313,286.1
314,286.11
315,286.12
316,286.13
317,286.4
318,286.5
319,286.6
320,286.7
321,287.0
322,287.2
323,287.3
324,287.31
325,287.32
326,287.4
327,288.0
328,288.11
329,288.2
330,288.3
331,289.0
332,289.4
333,289.5
334,289.8
335,289.9
336,290.0
337,290.1
338,290.11
339,290.12
340,290.16
341,290.2
342,290.3
343,291.1
344,291.4
345,291.8
346,292.2
347,295.0
348,295.1
349,295.2
350,295.3
351,296.0
352,296.1
353,296.22
354,300.0
355,300.1
356,300.11
357,300.12
358,300.13
359,300.3
360,300.4
361,300.8
362,300.9
363,301.0
364,301.1
365,301.2
366,302.0
367,302.1
368,303.0
369,303.1
370,303.3
371,303.4
372,304.0
373,305.2
374,305.21
375,306.0
376,306.9
377,312.0
378,312.3
379,313.0
380,313.1
381,313.2
382,313.3
383,315.0
384,315.1
385,315.2
386,315.3
387,316.0
388,316.1
389,317.0
390,317.1
391,318.0
392,320.0
393,323.0
394,323.2
395,323.8
396,324.0
397,324.1
398,325.0
399,327.0
400,327.1
401,327.3
402,327.4
403,327.41
404,327.5
405,327.6
406,331.0
407,331.1
